PAIS,PAIS_ISO3,CONTINENTE,ISO_CONTINENTE,OMS_REGION,FUENTE_DATOS,FECHA_ULT_ACTUALIZACION,TOTAL_VACUNACION_ACUM,NPER_VACUNADAS_1DOSIS,TOTAL_VACUNACION_PER100,NPER_VACUNADAS_1DOSIS_PER100,NPER_VACUNADAS_DOSIS_FULL,NPER_VACUNADAS_DOSIS_FULL_PER100,FECHA_PRIMERA_VACUNA,N_TIPOS_VACUNAS_USADAS,NPER_CON_DOSIS_ADICIONAL,NPER_CON_DOSIS_ADIDICIONAL_PER100
Falkland Islands (Malvinas),FLK,South America,SA,AMRO,REPORTING,21-06-2022,9390.0,3220,269.595,92.449,2976,85.444,0,1.0,2543.0,73.012
Faroe Islands,FRO,Europe,EU,EURO,OWID,18-02-2022,103894.0,41715,212.614,85.368,40895,83.69,0,2.0,21284.0,43.557
France,FRA,Europe,EU,EURO,REPORTING,09-07-2023,158060078.0,54677676,234.8,80.56,53189148,78.367,23-12-2020,9.0,41042160.0,60.47
Italy,ITA,Europe,EU,EURO,REPORTING,03-09-2023,150321523.0,50581311,252.0,85.692,49484582,83.829,23-12-2020,9.0,44917309.0,76.092
Kiribati,KIR,Oceania,OC,WPRO,REPORTING,06-02-2023,219980.0,100900,184.162,84.471,81474,68.208,26-05-2021,2.0,37606.0,31.483
Nauru,NRU,Oceania,OC,WPRO,REPORTING,20-02-2023,32157.0,13106,296.816,120.971,11346,104.726,09-04-2021,2.0,7705.0,71.119
New Zealand,NZL,Oceania,OC,WPRO,REPORTING,21-04-2023,12252378.0,4241210,254.081,87.951,4084115,84.693,19-02-2021,4.0,2719283.0,56.391
Nicaragua,NIC,North America,NA,AMRO,REPORTING,02-06-2023,15498213.0,6404524,233.951,96.679,6117158,92.341,03-03-2021,11.0,2892531.0,43.664
Palau,PLW,Oceania,OC,WPRO,REPORTING,10-03-2023,51032.0,18573,282.069,102.659,18278,101.028,03-01-2021,3.0,12885.0,71.219
Paraguay,PRY,South America,SA,AMRO,REPORTING,02-06-2023,9784169.0,3995915,137.177,56.024,3547736,49.74,22-02-2021,8.0,1660692.0,23.283
Philippines,PHL,Asia,AS,WPRO,REPORTING,19-03-2023,189317158.0,82684774,172.764,75.455,78443972,71.585,01-03-2021,11.0,23811248.0,21.729
Pitcairn Islands,PCN,Sin Determinar,Z9,WPRO,REPORTING,29-08-2022,117.0,47,234.0,94.0,47,94.0,17-05-2021,1.0,23.0,46.0
Republic of Korea,KOR,Asia,AS,WPRO,REPORTING,04-09-2023,135927574.0,44698288,265.125,87.184,44288342,86.384,26-02-2021,5.0,33644119.0,65.622
Russian Federation,RUS,Europe,EU,EURO,OWID,27-09-2023,186700479.0,88819982,127.9,61.212,79702396,54.928,0,2.0,0.0,0.0
Samoa,WSM,Oceania,OC,WPRO,REPORTING,24-02-2023,453130.0,191403,228.376,96.466,177954,89.688,18-04-2021,2.0,82268.0,41.463
Sierra Leone,SLE,Africa,AF,AFRO,REPORTING,30-07-2023,9155936.0,5676123,114.779,71.156,4961886,62.203,15-03-2021,2.0,1201709.0,15.065
Singapore,SGP,Asia,AS,WPRO,REPORTING,29-08-2023,15302530.0,5284679,261.566,90.331,5248693,89.716,30-12-2020,4.0,4769158.0,81.519
Sint Eustatius,XBA,Sin Determinar,Z9,AMRO,REPORTING,02-06-2023,4319.0,1791,137.592,57.056,1686,53.711,0,0.0,767.0,24.435
Spain,ESP,Europe,EU,EURO,REPORTING,03-09-2023,112886307.0,41332084,238.5,87.138,37485721,79.029,30-12-2020,4.0,26573833.0,56.024
Switzerland,CHE,Europe,EU,EURO,REPORTING,02-07-2023,16755985.0,6096600,193.6,70.145,5723066,65.847,23-12-2020,6.0,4996650.0,57.49
Syrian Arab Republic,SYR,Asia,AS,EMRO,REPORTING,18-04-2023,5090630.0,3295630,29.088,18.831,2358365,13.476,01-04-2021,11.0,75881.0,0.434
Timor-Leste,TLS,Sin Determinar,Z9,SEARO,REPORTING,26-06-2023,2019384.0,884194,153.164,67.063,799627,60.649,07-04-2021,4.0,335563.0,25.451
Viet Nam,VNM,Asia,AS,WPRO,REPORTING,30-06-2023,266492149.0,90272853,273.779,92.741,85961564,88.312,08-03-2021,6.0,57975220.0,59.56
