PAIS,PAIS_ISO3,CONTINENTE,ISO_CONTINENTE,OMS_REGION,FUENTE_DATOS,FECHA_ULT_ACTUALIZACION,TOTAL_VACUNACION_ACUM,NPER_VACUNADAS_1DOSIS,TOTAL_VACUNACION_PER100,NPER_VACUNADAS_1DOSIS_PER100,NPER_VACUNADAS_DOSIS_FULL,NPER_VACUNADAS_DOSIS_FULL_PER100,FECHA_PRIMERA_VACUNA,N_TIPOS_VACUNAS_USADAS,NPER_CON_DOSIS_ADICIONAL,NPER_CON_DOSIS_ADIDICIONAL_PER100
Seychelles,SYC,Africa,AF,AFRO,REPORTING,09-04-2023,224558.0,88520,228.332,90.008,83565,84.97,10-01-2021,4.0,44936.0,45.691
Trinidad and Tobago,TTO,North America,NA,AMRO,REPORTING,02-06-2023,1589640.0,754399,113.587,53.905,718969,51.374,17-02-2021,5.0,174836.0,12.493
Turkmenistan,TKM,Asia,AS,EURO,REPORTING,05-02-2023,13040514.0,3359468,216.2,55.702,3358426,55.684,24-02-2021,7.0,3171535.0,52.586
Uganda,UGA,Africa,AF,AFRO,REPORTING,28-05-2023,26406936.0,20033189,57.731,43.797,13061126,28.555,10-03-2021,5.0,764664.0,1.672
Ukraine,UKR,Europe,EU,EURO,REPORTING,27-02-2022,31668577.0,15774300,72.4,36.069,15153577,34.65,24-02-2021,6.0,741197.0,1.695
Yemen,YEM,Asia,AS,EMRO,REPORTING,20-06-2023,1282460.0,1037766,4.3,3.479,794265,2.663,20-04-2021,11.0,65523.0,0.22
New Caledonia,NCL,Oceania,OC,WPRO,REPORTING,03-04-2023,480497.0,192371,168.301,67.381,184801,64.729,20-01-2021,2.0,103325.0,36.191
Nigeria,NGA,Africa,AF,AFRO,REPORTING,19-03-2023,116606863.0,82325196,56.567,39.937,69793071,33.857,05-03-2021,1.0,12313372.0,5.973
Niue,NIU,Oceania,OC,WPRO,REPORTING,04-03-2023,4923.0,1638,304.265,101.236,1635,101.051,08-06-2021,1.0,1225.0,75.711
occupied Palestinian territory,PSE,Asia,AS,EMRO,REPORTING,18-10-2022,3748571.0,2012767,73.481,39.455,1776973,34.833,02-02-2021,10.0,336967.0,6.605
Saba,XCA,Sin Determinar,Z9,AMRO,REPORTING,02-06-2023,4979.0,1687,257.579,87.274,1667,86.239,0,0.0,1170.0,60.528
San Marino,SMR,Europe,EU,EURO,REPORTING,22-05-2022,69338.0,26357,204.3,76.501,23633,68.595,24-02-2021,2.0,19348.0,56.158
South Sudan,SSD,Africa,AF,AFRO,REPORTING,07-05-2023,4312900.0,4262480,38.53,38.079,4220606,37.705,06-04-2021,2.0,440238.0,3.933
Tajikistan,TJK,Asia,AS,EURO,REPORTING,04-12-2022,18871161.0,5311967,197.9,55.695,5170582,54.212,24-03-2021,6.0,5200841.0,54.53
Turks and Caicos Islands,TCA,North America,NA,AMRO,REPORTING,02-06-2023,73907.0,32815,190.885,84.754,30710,79.317,11-01-2021,1.0,7443.0,19.224
Antigua and Barbuda,ATG,North America,NA,AMRO,REPORTING,02-06-2023,136512.0,64290,139.399,65.65,62384,63.703,01-03-2021,6.0,9838.0,10.046
Bonaire,XAA,Sin Determinar,Z9,AMRO,REPORTING,02-06-2023,43070.0,17460,205.929,83.481,16189,77.404,0,0.0,8125.0,38.848
Colombia,COL,South America,SA,AMRO,REPORTING,02-06-2023,90506612.0,43012174,177.872,84.532,37019801,72.755,17-02-2021,5.0,14792792.0,29.072
Comoros,COM,Africa,AF,AFRO,REPORTING,02-10-2022,835021.0,438825,96.023,50.463,397080,45.662,10-04-2021,3.0,0.0,0.0
Cyprus,CYP,Asia,AS,EURO,REPORTING,11-06-2023,1858908.0,669218,209.3,75.369,656129,73.888,23-12-2020,5.0,487380.0,54.885
Democratic Republic of the Congo,COD,Africa,AF,AFRO,REPORTING,04-06-2023,18808671.0,17045721,21.001,19.032,14399520,16.078,19-04-2021,1.0,0.0,0.0
Equatorial Guinea,GNQ,Africa,AF,AFRO,REPORTING,24-07-2022,488738.0,270109,34.836,19.252,214032,15.255,12-02-2021,2.0,4597.0,0.328
Eritrea,ERI,Africa,AF,AFRO,REPORTING,03-07-2022,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
Ghana,GHA,Africa,AF,AFRO,REPORTING,26-03-2023,22384226.0,13221421,72.038,42.55,10170298,32.73,02-03-2021,2.0,4062970.0,13.076
Iraq,IRQ,Asia,AS,EMRO,REPORTING,02-01-2023,19557364.0,11332925,48.623,28.176,7944775,19.752,02-03-2021,10.0,275280.0,0.684
Isle of Man,IMN,Europe,EU,EURO,OWID,23-06-2022,189994.0,69560,223.438,81.804,67106,78.919,0,3.0,53328.0,62.715
Jamaica,JAM,North America,NA,AMRO,REPORTING,02-06-2023,1525895.0,858035,51.53,28.976,758800,25.625,10-03-2021,6.0,45995.0,1.553
Liechtenstein,LIE,Europe,EU,OTHER,REPORTING,10-04-2022,71104.0,26681,183.5,68.86,26346,67.995,06-01-2021,3.0,18310.0,47.255
Mali,MLI,Africa,AF,AFRO,REPORTING,14-05-2023,5922585.0,4354292,29.246,21.502,3633589,17.943,31-03-2021,1.0,0.0,0.0
Martinique,MTQ,North America,NA,AMRO,REPORTING,02-06-2023,401816.0,150795,107.075,40.184,145536,38.782,0,2.0,92919.0,24.761
Mexico,MEX,North America,NA,AMRO,REPORTING,02-06-2023,222226293.0,96727823,172.358,75.022,81346379,63.092,24-12-2020,8.0,57014052.0,44.22
Monaco,MCO,Europe,EU,EURO,REPORTING,04-12-2022,71027.0,25319,181.0,64.517,24933,63.533,30-06-2021,7.0,17806.0,45.373
Montenegro,MNE,Europe,EU,EURO,REPORTING,04-12-2022,523735.0,272152,83.4,43.763,251583,40.456,24-02-2021,5.0,0.0,0.0
Morocco,MAR,Africa,AF,EMRO,REPORTING,14-05-2023,55389602.0,25020168,150.064,67.786,23521989,63.727,28-01-2021,10.0,6884356.0,18.651
Mozambique,MOZ,Africa,AF,AFRO,REPORTING,18-06-2023,34948793.0,22869646,111.817,73.17,21329745,68.243,08-03-2021,3.0,2323562.0,7.434
Northern Mariana Islands (Commonwealth of the),MNP,Oceania,OC,WPRO,REPORTING,30-05-2023,123536.0,46824,214.632,81.352,45953,79.839,19-12-2020,3.0,26121.0,45.383
Norway,NOR,Europe,EU,EURO,REPORTING,11-06-2023,12336663.0,4347197,229.8,80.99,4062204,75.68,23-12-2020,4.0,3020810.0,56.279
Panama,PAN,North America,NA,AMRO,REPORTING,02-06-2023,8901881.0,3533579,206.312,81.895,3174229,73.567,20-01-2021,2.0,1769698.0,41.015
Peru,PER,South America,SA,AMRO,REPORTING,02-06-2023,89593907.0,30487563,271.728,92.465,28654963,86.907,09-02-2021,4.0,22143074.0,67.158
Poland,POL,Europe,EU,EURO,REPORTING,11-06-2023,58223243.0,22983299,153.4,60.549,22704578,59.815,23-12-2020,5.0,12532074.0,33.016
Puerto Rico,PRI,North America,NA,AMRO,REPORTING,02-06-2023,7846764.0,2905470,274.281,101.56,2688410,93.972,0,4.0,1808780.0,63.225
Sao Tome and Principe,STP,Africa,AF,AFRO,REPORTING,04-06-2023,263275.0,140256,120.13,63.997,111986,51.098,15-03-2021,2.0,34624.0,15.799
Suriname,SUR,South America,SA,AMRO,REPORTING,02-06-2023,554588.0,267820,94.538,45.654,237879,40.55,23-02-2021,5.0,48889.0,8.334
Azerbaijan,AZE,Asia,AS,EURO,REPORTING,11-06-2023,13825256.0,5434679,136.4,53.601,4887727,48.206,20-01-2021,5.0,3502852.0,34.548
Belgium,BEL,Europe,EU,EURO,REPORTING,11-06-2023,29118547.0,9254386,252.7,80.316,9158159,79.481,30-12-2020,4.0,7244723.0,62.875
Bhutan,BTN,Asia,AS,SEARO,REPORTING,30-10-2022,2011426.0,699116,260.68,90.605,677669,87.826,27-03-2021,5.0,634641.0,82.249
Bosnia and Herzegovina,BIH,Europe,EU,EURO,REPORTING,29-01-2022,1924950.0,943394,58.7,28.755,846080,25.789,0,4.0,0.0,0.0
China,CHN,Asia,AS,WPRO,REPORTING,23-03-2023,3515872818.0,1317994878,238.966,89.581,1284413713,87.299,22-07-2020,8.0,833820382.0,56.673
Cook Islands,COK,Oceania,OC,WPRO,REPORTING,31-01-2023,40080.0,15112,228.194,86.04,14728,83.853,17-05-2021,1.0,10240.0,58.301
Czechia,CZE,Europe,EU,EURO,REPORTING,11-06-2023,18614714.0,6972162,174.1,65.197,6887894,64.409,23-12-2020,9.0,4365749.0,40.825
Djibouti,DJI,Africa,AF,EMRO,REPORTING,18-04-2023,392703.0,372077,39.747,37.66,351712,35.598,15-03-2021,11.0,0.0,0.0
Dominican Republic,DOM,North America,NA,AMRO,REPORTING,02-06-2023,15972891.0,7322815,147.244,67.504,6095810,56.193,16-02-2021,5.0,2554266.0,23.546
Germany,DEU,Europe,EU,EURO,REPORTING,11-06-2023,193234743.0,64867580,232.3,77.997,63564568,76.43,23-12-2020,9.0,52142370.0,62.696
Gibraltar,GIB,Europe,EU,EURO,OWID,16-12-2022,132810.0,42175,394.2,125.182,41465,123.074,0,2.0,49170.0,145.944
Guatemala,GTM,North America,NA,AMRO,REPORTING,02-06-2023,20370595.0,8935137,113.703,49.874,7127944,39.786,25-02-2021,5.0,3719543.0,20.762
Israel,ISR,Asia,AS,EURO,REPORTING,05-06-2022,17915305.0,7055466,207.0,81.514,6385731,73.776,16-12-2020,3.0,4474108.0,51.691
Kazakhstan,KAZ,Asia,AS,EURO,REPORTING,30-04-2023,38355605.0,12443364,204.3,66.27,13070774,69.612,07-04-2021,5.0,6801526.0,36.223
Kuwait,KWT,Asia,AS,EMRO,REPORTING,18-06-2023,8260540.0,3457150,193.429,80.953,3345866,78.347,28-12-2020,10.0,1457524.0,34.129
Lao People's Democratic Republic,LAO,Asia,AS,WPRO,REPORTING,21-05-2023,13879410.0,6324678,190.768,86.93,5691962,78.234,25-11-2020,8.0,2451034.0,33.689
Micronesia (Federated States of),FSM,Oceania,OC,WPRO,REPORTING,28-03-2023,198749.0,83871,172.791,72.917,80910,70.342,13-01-2021,4.0,30537.0,26.549
Rwanda,RWA,Africa,AF,AFRO,REPORTING,04-06-2023,27322059.0,10884714,210.945,84.037,10399665,80.293,05-03-2021,7.0,4225194.0,32.621
"Saint Helena, Ascension and Tristan da Cunha",SHN,Africa,AF,AFRO,OWID,05-05-2021,7892.0,4361,129.995,71.833,3531,58.162,0,1.0,0.0,0.0
Saint Lucia,LCA,North America,NA,AMRO,REPORTING,02-06-2023,122977.0,60140,66.971,32.751,54971,29.936,17-02-2021,5.0,7866.0,4.284
Serbia,SRB,Europe,EU,EURO,REPORTING,05-03-2023,6722671.0,3398116,97.1,49.058,3324555,47.996,23-12-2020,5.0,0.0,0.0
Sweden,SWE,Europe,EU,EURO,REPORTING,11-06-2023,23226250.0,7470582,224.9,72.336,7332983,71.004,23-12-2020,5.0,5541390.0,53.656
Tuvalu,TUV,Oceania,OC,WPRO,REPORTING,01-02-2023,26783.0,9763,227.129,82.793,9505,80.605,13-04-2021,1.0,5745.0,48.719
Thailand,THA,Asia,AS,SEARO,REPORTING,23-06-2023,139279946.0,57652499,199.542,82.597,54181443,77.624,28-02-2021,8.0,27446004.0,39.321
The United Kingdom,GBR,Europe,EU,EURO,REPORTING,11-09-2022,151248820.0,53813491,222.8,79.068,50762968,74.586,21-12-2020,3.0,0.0,0.0
Turkey,TUR,Asia,AS,EURO,REPORTING,29-01-2023,139694693.0,50974980,0.0,61.919,50670345,60.935,0,3.0,27896331.0,33.547
Afghanistan,AFG,Asia,AS,EMRO,REPORTING,20-06-2023,20324305.0,17231834,52.21,44.266,16505676,42.4,22-02-2021,11.0,2046951.0,5.258
Burundi,BDI,Africa,AF,AFRO,REPORTING,11-06-2023,40041.0,36909,0.337,0.31,36321,0.305,18-10-2021,1.0,314.0,0.003
Cabo Verde,CPV,Africa,AF,AFRO,REPORTING,25-09-2022,859940.0,356734,154.669,64.162,308720,55.526,18-03-2021,4.0,749.0,0.135
Cayman Islands,CYM,North America,NA,AMRO,REPORTING,02-06-2023,151822.0,62085,231.013,94.469,60664,92.307,15-01-2021,1.0,24064.0,36.616
Falkland Islands (Malvinas),FLK,South America,SA,AMRO,REPORTING,21-06-2022,9390.0,3220,269.595,92.449,2976,85.444,0,1.0,2543.0,73.012
Faroe Islands,FRO,Europe,EU,EURO,OWID,18-02-2022,103894.0,41715,212.614,85.368,40895,83.69,0,2.0,21284.0,43.557
France,FRA,Europe,EU,EURO,REPORTING,11-06-2023,158038124.0,54676037,234.8,81.218,53187210,79.006,23-12-2020,9.0,41038200.0,60.96
Italy,ITA,Europe,EU,EURO,REPORTING,11-06-2023,150317622.0,50581051,252.0,84.813,49484229,82.969,23-12-2020,9.0,44916242.0,75.31
Kiribati,KIR,Oceania,OC,WPRO,REPORTING,06-02-2023,219980.0,100900,184.162,84.471,81474,68.208,26-05-2021,2.0,37606.0,31.483
Nauru,NRU,Oceania,OC,WPRO,REPORTING,20-02-2023,32157.0,13106,296.816,120.971,11346,104.726,09-04-2021,2.0,7705.0,71.119
New Zealand,NZL,Oceania,OC,WPRO,REPORTING,21-04-2023,12252378.0,4241210,254.081,87.951,4084115,84.693,19-02-2021,4.0,2719283.0,56.391
Nicaragua,NIC,North America,NA,AMRO,REPORTING,02-06-2023,15498213.0,6404524,233.951,96.679,6117158,92.341,03-03-2021,11.0,2892531.0,43.664
Palau,PLW,Oceania,OC,WPRO,REPORTING,10-03-2023,51032.0,18573,282.069,102.659,18278,101.028,03-01-2021,3.0,12885.0,71.219
Paraguay,PRY,South America,SA,AMRO,REPORTING,02-06-2023,9784169.0,3995915,137.177,56.024,3547736,49.74,22-02-2021,8.0,1660692.0,23.283
Philippines,PHL,Asia,AS,WPRO,REPORTING,19-03-2023,189317158.0,82684774,172.764,75.455,78443972,71.585,01-03-2021,11.0,23811248.0,21.729
Pitcairn Islands,PCN,Sin Determinar,Z9,WPRO,REPORTING,29-08-2022,117.0,47,234.0,94.0,47,94.0,17-05-2021,1.0,23.0,46.0
Republic of Korea,KOR,Asia,AS,WPRO,REPORTING,25-05-2023,135852851.0,44894318,264.98,87.566,42969958,83.812,26-02-2021,5.0,33643904.0,65.622
Russian Federation,RUS,Europe,EU,EURO,OWID,26-05-2023,186692479.0,88811982,127.9,60.857,79702396,54.615,0,2.0,0.0,0.0
Samoa,WSM,Oceania,OC,WPRO,REPORTING,24-02-2023,453130.0,191403,228.376,96.466,177954,89.688,18-04-2021,2.0,82268.0,41.463
Sierra Leone,SLE,Africa,AF,AFRO,REPORTING,04-06-2023,8475172.0,5399967,106.245,67.694,4638619,58.15,15-03-2021,2.0,977762.0,12.257
Singapore,SGP,Asia,AS,WPRO,REPORTING,30-05-2023,15289876.0,5285826,261.35,90.351,5247569,89.697,30-12-2020,4.0,4756481.0,81.303
Sint Eustatius,XBA,Sin Determinar,Z9,AMRO,REPORTING,02-06-2023,4319.0,1791,137.592,57.056,1686,53.711,0,0.0,767.0,24.435
Spain,ESP,Europe,EU,EURO,REPORTING,11-06-2023,112837406.0,41328627,238.4,87.315,37483217,79.191,30-12-2020,4.0,26563654.0,56.121
Switzerland,CHE,Europe,EU,EURO,REPORTING,11-06-2023,16755470.0,6096586,193.6,70.841,5723015,66.5,23-12-2020,6.0,4996200.0,58.055
Syrian Arab Republic,SYR,Asia,AS,EMRO,REPORTING,18-04-2023,5090630.0,3295630,29.088,18.831,2358365,13.476,01-04-2021,11.0,75881.0,0.434
Timor-Leste,TLS,Sin Determinar,Z9,SEARO,REPORTING,26-06-2023,2019384.0,884194,153.164,67.063,799627,60.649,07-04-2021,4.0,335563.0,25.451
Viet Nam,VNM,Asia,AS,WPRO,REPORTING,08-06-2023,266448231.0,90270583,273.733,92.739,85958364,88.309,08-03-2021,6.0,57958886.0,59.544
